country,year,sex,list,cause,cdr
USA,1995,1,short,9,176
USA,1995,1,short,10,204
USA,1995,1,short,11,564
USA,1995,1,short,12,307
USA,1995,1,short,13,40
USA,1995,1,short,14,151
USA,1995,1,short,15,127
USA,1995,1,short,16,840
USA,1996,1,short,0,8835
USA,1996,1,short,1,342
USA,1996,1,short,2,2218
USA,1996,1,short,3,31
USA,1996,1,short,4,284
USA,1996,1,short,5,107
USA,1996,1,short,6,223
USA,1996,1,short,7,2755
USA,1996,1,short,8,505
USA,1996,1,short,9,173
USA,1996,1,short,10,203
USA,1996,1,short,11,565
USA,1996,1,short,12,302
USA,1996,1,short,13,39
USA,1996,1,short,14,153
USA,1996,1,short,15,120
USA,1996,1,short,16,816
USA,1997,1,short,0,8656
USA,1997,1,short,1,247
USA,1997,1,short,2,2186
USA,1997,1,short,3,30
USA,1997,1,short,4,288
USA,1997,1,short,5,110
USA,1997,1,short,6,228
USA,1997,1,short,7,2698
USA,1997,1,short,8,500
USA,1997,1,short,9,170
USA,1997,1,short,10,207
USA,1997,1,short,11,577
USA,1997,1,short,12,301
USA,1997,1,short,13,39
USA,1997,1,short,14,156
USA,1997,1,short,15,118
USA,1997,1,short,16,799
USA,1998,1,short,0,8574
USA,1998,1,short,1,232
USA,1998,1,short,2,2168
USA,1998,1,short,3,30
USA,1998,1,short,4,298
USA,1998,1,short,5,115
USA,1998,1,short,6,234
USA,1998,1,short,7,2648
USA,1998,1,short,8,485
USA,1998,1,short,9,165
USA,1998,1,short,10,214
USA,1998,1,short,11,585
USA,1998,1,short,12,299
USA,1998,1,short,13,39
USA,1998,1,short,14,160
USA,1998,1,short,15,116
USA,1998,1,short,16,786
USA,1999,1,short,0,8604
USA,1999,1,short,1,244
USA,1999,1,short,2,2157
USA,1999,1,short,3,28
USA,1999,1,short,4,301
USA,1999,1,short,5,124
USA,1999,1,short,6,252
USA,1999,1,short,7,2643
USA,1999,1,short,8,477
USA,1999,1,short,9,155
USA,1999,1,short,10,207
USA,1999,1,short,11,614
USA,1999,1,short,12,304
USA,1999,1,short,13,38
USA,1999,1,short,14,170
USA,1999,1,short,15,113
USA,1999,1,short,16,776
USA,2000,1,short,0,8521
USA,2000,1,short,1,237
USA,2000,1,short,2,2139
USA,2000,1,short,3,28
USA,2000,1,short,4,305
USA,2000,1,short,5,130
USA,2000,1,short,6,265
USA,2000,1,short,7,2571
USA,2000,1,short,8,474
USA,2000,1,short,9,156
USA,2000,1,short,10,211
USA,2000,1,short,11,597
USA,2000,1,short,12,304
USA,2000,1,short,13,39
USA,2000,1,short,14,174
USA,2000,1,short,15,113
USA,2000,1,short,16,777
USA,2001,1,short,0,8472
USA,2001,1,short,1,241
USA,2001,1,short,2,2124
USA,2001,1,short,3,29
USA,2001,1,short,4,313
USA,2001,1,short,5,140
USA,2001,1,short,6,277
USA,2001,1,short,7,2505
USA,2001,1,short,8,457
USA,2001,1,short,9,148
USA,2001,1,short,10,199
USA,2001,1,short,11,591
USA,2001,1,short,12,307
USA,2001,1,short,13,39
USA,2001,1,short,14,179
USA,2001,1,short,15,110
USA,2001,1,short,16,814
USA,2002,1,short,0,8504
USA,2002,1,short,1,251
USA,2002,1,short,2,2112
USA,2002,1,short,3,29
USA,2002,1,short,4,323
USA,2002,1,short,5,151
USA,2002,1,short,6,289
USA,2002,1,short,7,2495
USA,2002,1,short,8,449
USA,2002,1,short,9,146
USA,2002,1,short,10,209
USA,2002,1,short,11,591
USA,2002,1,short,12,308
USA,2002,1,short,13,40
USA,2002,1,short,14,184
USA,2002,1,short,15,110
USA,2002,1,short,16,818
USA,2003,1,short,0,8446
USA,2003,1,short,1,248
USA,2003,1,short,2,2089
USA,2003,1,short,3,29
USA,2003,1,short,4,330
USA,2003,1,short,5,159
USA,2003,1,short,6,303
USA,2003,1,short,7,2443
USA,2003,1,short,8,436
USA,2003,1,short,9,142
USA,2003,1,short,10,206
USA,2003,1,short,11,587
USA,2003,1,short,12,311
USA,2003,1,short,13,41
USA,2003,1,short,14,189
USA,2003,1,short,15,109
USA,2003,1,short,16,823
USA,2004,1,short,0,8226
USA,2004,1,short,1,246
USA,2004,1,short,2,2061
USA,2004,1,short,3,29
USA,2004,1,short,4,327
USA,2004,1,short,5,165
USA,2004,1,short,6,304
USA,2004,1,short,7,2325
USA,2004,1,short,8,413
USA,2004,1,short,9,133
USA,2004,1,short,10,190
USA,2004,1,short,11,573
USA,2004,1,short,12,301
USA,2004,1,short,13,41
USA,2004,1,short,14,188
USA,2004,1,short,15,108
USA,2004,1,short,16,822
USA,2005,1,short,0,8325
USA,2005,1,short,1,250
USA,2005,1,short,2,2067
USA,2005,1,short,3,29
USA,2005,1,short,4,339
USA,2005,1,short,5,185
USA,2005,1,short,6,325
USA,2005,1,short,7,2313
USA,2005,1,short,8,394
USA,2005,1,short,9,133
USA,2005,1,short,10,197
USA,2005,1,short,11,593
USA,2005,1,short,12,304
USA,2005,1,short,13,42
USA,2005,1,short,14,195
USA,2005,1,short,15,108
USA,2005,1,short,16,851
USA,2006,1,short,0,8205
USA,2006,1,short,1,248
USA,2006,1,short,2,2045
USA,2006,1,short,3,26
USA,2006,1,short,4,329
USA,2006,1,short,5,231
USA,2006,1,short,6,333
USA,2006,1,short,7,2241
USA,2006,1,short,8,376
USA,2006,1,short,9,117
USA,2006,1,short,10,178
USA,2006,1,short,11,570
USA,2006,1,short,12,301
USA,2006,1,short,13,40
USA,2006,1,short,14,197
USA,2006,1,short,15,107
USA,2006,1,short,16,865
USA,2007,1,short,0,8137
USA,2007,1,short,1,244
USA,2007,1,short,2,2046
USA,2007,1,short,3,29
