country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1980,1,short,4,14,15319,167.03,17.29,5.34,14.39,22.25,50.54,87.93,119.87,141.75,174.95,274.66,386.42,649.06,1016.11,1572.21,2059.73,2482.19,2506.11,3571.17,2114.53,1456.65,1084.87,371.78,320.22,51.55
USA,1980,1,short,4,15,24552.34,21802.81,608.21,177.05,139.36,186.87,183.41,149.29,150.06,118.7,89.96,115.55,135.43,159.24,127.19,122.09,106.3,85.01,63.28,32.53,17.91,14.62,10.93,3.69,2.54,1.15
USA,1980,1,short,4,16,118674.61,850.46,2330.96,1707.76,2304.9,12978.78,18416.61,14816.49,10983.11,7807.52,6205.08,5739.18,5945.22,5764.05,4857.5,4584.62,3957.63,3588.85,2754.84,3081.06,1962.9,1118.16,827.6,290.56,242.37,48.19
USA,1981,1,short,4,0,1064262,24478.55,4660.41,2789.9,3420.51,13469.34,20207.73,19172.12,17727.17,16953.68,20769,30868.71,50908.59,77886.47,104102.74,130302.48,145058.84,138322.63,115051.78,128111.36,80237.44,47873.92,36312.29,11561.63,10058.1,1503.53
USA,1981,1,short,4,1,11467.04,436.85,214.68,61.04,53.9,79.89,130.66,197.17,227.96,190.95,251.55,384.1,583.01,840.25,1038.92,1261.79,1375.62,1439.72,1264.24,1434.74,878.44,556.3,414.49,141.81,113.67,28.13
USA,1981,1,short,4,2,236860.04,92.28,421.03,415.39,409.07,665.02,904.37,1151.8,1514.41,2098.03,3785.56,7103,14074.24,23317.62,31559.64,38439.16,39142.11,32202.86,22084.77,17479.67,12360.62,5119.05,4235.5,883.54,802.73,80.81
USA,1981,1,short,4,3,2916.09,64.83,69.42,29.86,38.68,45.89,67.49,65.19,71.22,67.24,80.15,89.13,116.69,183.7,245.26,276.44,335.91,373.99,318.32,376.68,218.23,158.45,123.46,35,31.6,3.39
USA,1981,1,short,4,4,20560.37,210.82,119.77,71.48,98.55,96.46,158.41,209.81,303.57,325.47,424.23,604.84,1023.55,1521.6,2064.28,2643.27,2948.66,2895.13,2310.66,2529.83,1595.84,933.98,712.91,221.07,199.51,21.56
USA,1981,1,short,4,5,9296.99,8.46,24.87,19.2,34.35,65.32,174.81,347.46,441.31,398.13,446,536.31,633.99,747.06,691.19,704.39,693.82,794.05,1049.91,1486.35,916.17,570.17,437.13,133.04,116.75,16.3
USA,1981,1,short,4,6,13915.99,585.23,396.65,164.56,166.59,343.87,356.96,339.69,335.64,314.63,362.01,454.71,624.89,913.41,1224.62,1531.18,1720.09,1775.31,1259.01,1046.94,724.42,322.52,251.3,71.22,63.08,8.13
USA,1981,1,short,4,7,401416.97,307.23,153.45,79.82,87.02,204.97,435.48,732.71,1465.91,2955.26,5635.05,10817.71,19340.42,31367.1,42805.65,53929.28,61057.08,59047.17,51064.95,59930.69,36558.77,23371.92,17546.52,5825.39,5053.09,772.31
USA,1981,1,short,4,8,68895.5,57.27,25.27,21.75,31.03,61.83,128.55,191.61,311.93,464.3,639.19,1073.09,1804.75,2915.54,4669.83,7056.85,10119.54,12109.58,12155.13,15058.46,9322.15,5736.31,4311.61,1424.7,1259.94,164.77
